,RID,start,end,Distance,Time
214,22893,"50.1423319151767, 8.14075108413818","49.9997874740956, 7.87160907468206",41122,2858
215,22897,"53.5941988816015, 9.98332679271698","53.5626859813757, 9.98095035552979",5857,915
216,22912,"52.5219691769007, 13.332896232605","52.5123608953137, 13.3589458465576",2710,401
217,22920,"50.0344473192365, 8.7973806617452","52.659856763828, 12.1875091971395",526672,20521
218,22932,"52.5109630574351, 13.3985620737076","52.5161392527104, 13.3913898468018",1735,316
219,22944,"48.8742664134108, 9.35091018676758","48.8955471174441, 9.48875427246094",17040,1022
220,22954,"52.2152589107833, 11.7884445120581","52.1533458309558, 11.9835662702099",21387,1244
221,22983,"53.5872072437557, 9.86005783081055","53.5808047016659, 9.86186027526856",1579,241
222,23025,"50.3362592865682, 8.75730514526367","53.5161923642659, 12.7325634775448",648874,24214
223,23040,"48.9938475524225, 8.39350640773773","48.9885534775087, 8.42229723930359",6344,724
224,23043,"50.1545825962802, 8.77114023343893","50.0948016893076, 8.59164336893178",34239,2452
225,23061,"48.6726204519234, 11.4683532714844","48.6767068554532, 11.4904975891113",2137,201
226,23062,"50.4003191228416, 7.61483430862427","50.4674186176614, 7.61043548583984",12990,1104
227,23065,"48.6558339974839, 10.8057403564453","48.6296300172814, 10.8114910125732",3677,302
228,23068,"50.3913436322411, 7.6453072624281","49.9822237504386, 7.53107888507657",76126,3486
229,23073,"51.6758859543529, 10.8676757477224","50.8007425550038, 12.9049248669435",224054,9261
230,23084,"54.0815671794572, 12.1354991197586","54.2451178331649, 12.2056818008423",25282,2023
231,23096,"51.6278479291957, 10.1572036743164","51.6357221958013, 10.1649928092957",5509,514
232,23104,"54.0972929216471, 12.1422004657506","54.149991241027, 11.7575821009814",29297,2378
233,23113,"50.1225922232157, 8.70116723548563","50.1336147426065, 8.72971753524325",4250,759
234,23115,"52.4197002249713, 13.2829996347346","52.4324489445508, 13.4111373424366",18135,1541
235,23129,"51.5274425108044, 6.84079170227051","51.5785684627107, 6.87619686126709",8080,996
236,23135,"50.9707115160847, 13.8718155123161","50.973773722488, 13.8811050742652",1069,165
237,23149,"52.6081297051797, 12.333869934082","52.592731690778, 12.3800844713696",4183,416
238,23153,"51.9921073486171, 9.12036895751953","51.9839612389954, 9.09552097320557",2306,321
239,23171,"48.8684341099573, 12.5639820098877","48.8573787665483, 12.5613300038822",2618,358
240,23179,"49.7859330955917, 9.07659530639649","49.9582444256043, 9.10680770874024",29679,1670
241,23183,"49.9973881259731, 9.19856071472168","50.1064210415392, 12.1271422780389",271719,10995
242,23253,"48.0549678170396, 8.52122783660889","48.0495150173554, 8.51998329162598",1231,244
243,23265,"52.2555351606794, 10.5267328747868","52.159021934549, 10.305004119873",20799,1253
244,23280,"48.6348342906275, 12.8537452646606","48.5692863013154, 12.5784312613905",23256,1387
245,32079,"51.8329399895703, 6.46236419677734","51.8159442116144, 6.52725219726563",9264,741
246,32114,"54.2988787256281, 13.0606359243393","54.3169012342638, 13.0576586723328",2432,292
247,32115,"49.9004249349259, 8.50942611694336","49.7840128926146, 8.77326965332031",35699,2114
248,32127,"50.8512519552872, 12.9479885101318","50.9318338692658, 12.8515791893005",16165,1322
249,32135,"48.6201883186906, 9.33548111010168","48.6214602633248, 9.3377107847482",310,68
250,32137,"48.206172917143, 11.5521669387817","47.5090411558147, 11.2651062011719",110204,5251
251,32143,"50.0742743261811, 7.43903160095215","50.077799030951, 7.36196637153626",6462,421
252,32147,"48.7789308370763, 9.18066501617432","48.8045457581585, 9.19585704803467",4363,656
253,32150,"49.467407303634, 7.76698207802838","49.1448698494201, 7.76027870073449",57614,3666
254,32157,"49.3340718204606, 7.5889778137207","49.1520714583668, 7.78038024902344",39472,1940
255,32167,"50.6257427978421, 9.49577522173058","50.5128152511898, 9.24478915287182",32481,2075
256,32186,"51.7330585778213, 10.2399444580078","51.8179239561717, 10.3250885009766",15129,1107
257,32190,"50.2200620113189, 8.65669429298578","50.2201824894598, 8.65668296857621",10,2
258,32195,"52.3328999428736, 9.83431398835819","52.33371453188, 9.823820113088",2038,310
259,32196,"47.5032949794286, 11.0926478204783","47.6875379079332, 11.1626856622752",32839,2139
260,32199,"51.6526700077083, 7.33082056045532","51.6670190648764, 7.25698471069336",11774,1629
261,32200,"48.4403762595544, 11.8579387664795","48.4221415117277, 11.8802547454834",2968,222
262,32209,"52.1236200490129, 11.6475677490234","51.761810788082, 10.9561157226562",77449,4079
263,32213,"53.5520370307997, 10.0172423198819","52.1627865914211, 10.5380058148876",210884,8494
264,32219,"51.46793756484, 7.48958587646484","51.4558040463079, 7.50095844268799",2585,454
265,32230,"48.6988928511018, 10.3567332029343","48.6997020936065, 10.3501617908478",572,104
266,32232,"48.1403743586862, 11.6015616670484","47.4823993478851, 11.5008232590234",94007,5252
267,32233,"53.3056468433287, 9.9565315246582","53.2824584662586, 9.80855941772461",14017,1243
