,RID,start,end,Distance,Time
213,33135,"54.6678749403745, 8.92192840576172","54.6019032516363, 8.82305145263672",12674,2451
214,42137,"48.206172917143, 11.5521669387817","47.5090411558147, 11.2651062011719",110979,22058
215,42147,"48.7789308370763, 9.18066501617432","48.8045457581585, 9.19585704803467",4498,881
216,42152,"52.0854840134481, 8.66358017934544","52.118516832521, 8.7088655234038",6816,1642
217,42156,"51.4910300848574, 6.29653930664063","51.5005203686408, 6.29001617431641",1382,271
218,42179,"52.9796561320157, 9.1195678152144","54.1915037210421, 12.6599118858576",329000,61092
219,42203,"51.7858002361573, 11.1604270956013","51.8186461908171, 11.1965446535032",6400,1162
220,42213,"53.5520370307997, 10.0172423198819","52.1627865914211, 10.5380058148876",197015,36290
221,42216,"52.3765615453666, 13.1348419189453","52.4025026651013, 13.1684875488281",4843,946
222,42219,"51.46793756484, 7.48958587646484","51.4558040463079, 7.50095844268799",2360,727
223,42223,"52.450306725815, 13.5378170013428","52.4462747896543, 13.5347270965576",1135,203
224,42233,"53.3056468433287, 9.9565315246582","53.2824584662586, 9.80855941772461",11225,2402
225,42240,"51.4564704855005, 6.73659373889677","51.4679164502837, 6.72075773065444",2267,441
226,42260,"52.4841879001056, 9.80461992978235","52.5001755017737, 9.8073080231552",2908,516
227,42266,"51.8790731942943, 12.6655197143555","51.8566124252493, 12.6462936401367",4500,901
228,42269,"51.3631128213287, 9.46866989135742","51.3651391933515, 9.44292068481445",2222,463
229,42272,"51.5384479835308, 7.11441993713379","51.5495475338527, 7.12858200073242",2940,618
230,42276,"53.1690804351361, 9.48886870639399","53.1719568097132, 9.50310230167816",1215,214
231,42279,"51.4720151866535, 7.36740589141846","51.4274924994744, 7.27020263671875",9573,1842
232,42286,"50.094415885671, 10.7913208007812","50.0650953236531, 10.7504653930664",5747,1295
233,42308,"52.7662917817552, 13.238525390625","52.7870809335192, 13.2625579833984",4260,835
234,42312,"49.0035766466774, 8.51842761039734","48.983510442385, 8.42462539672852",9191,1757
235,42324,"48.1273469144195, 11.5559434890747","48.1213570715972, 11.5671443939209",1438,324
236,42332,"52.4976438014187, 13.3135516788752","52.4962737661516, 13.3253625190991",1117,221
237,42337,"52.025077360978, 8.5434365272522","52.0235061454287, 8.50341796875",3291,1080
238,42350,"50.8893906240934, 11.8231773376465","50.8952377736013, 11.8255805969238",1173,308
239,42368,"49.541474080412, 8.58633041381836","49.5381043976733, 8.5133957862854",6234,1206
240,42373,"51.9036128078836, 10.1565170288086","51.9427834189026, 10.0990104675293",7118,1242
241,42385,"52.1354966083489, 11.611475944519","52.120020067365, 11.6467952728272",3812,769
242,42387,"48.8092086898588, 9.36314169768593","48.8058823119663, 9.35604131547734",645,110
243,42413,"54.4747197049135, 8.876953125","54.4783897810568, 9.07470703125",20580,3717
244,42430,"53.3913395435387, 7.49301910400391","53.4022053305562, 7.459716796875",4040,761
245,42435,"51.1608946072108, 13.9080734294839","51.1614893996407, 13.8953361532185",1076,255
246,42441,"50.5645252914413, 8.15769195556641","50.4874249714563, 8.27133178710938",15037,2544
247,42448,"49.0091229434035, 8.38532567024231","49.0004137644251, 8.37207555770874",2098,440
248,42455,"54.1475564206634, 10.9565234184265","54.178932490972, 10.9720426797867",4381,901
249,42468,"54.2026168034675, 9.8876953125","54.3046661449239, 10.0691413879395",25506,4654
250,42500,"48.4517829073863, 9.38441848964431","48.4605069658235, 9.37592982983915",1823,527
251,42513,"52.5447019702403, 9.73457336425781","52.5480633469816, 9.71534729003906",2174,474
252,42521,"52.5172797285759, 13.4997779130936","52.4399460554048, 13.6802101135254",20485,3934
253,42533,"49.7007830105183, 7.34049797058105","49.687525036817, 7.35860824584961",3473,1543
254,42551,"54.2138610006449, 13.18359375","54.0851734208868, 13.436279296875",29126,5315
255,42585,"48.4471312074834, 9.09621834754944","48.4433812013801, 9.08800005912781",933,145
256,42592,"52.4488704790977, 10.8016108275115","52.4493769134219, 10.8126153951162",1080,187
257,42601,"53.6425719515904, 9.24248635725235","53.650071851451, 9.24919367011171",1166,185
258,42622,"48.7803518747478, 11.4105033874512","48.7398966761093, 11.3248443603516",10316,1921
259,42658,"49.0017946485299, 8.38754653930664","49.00167675358, 8.37535858154297",1646,347
260,42667,"52.6276126834009, 13.5164076089859","52.7076662111421, 13.5308790198178",11809,2437
261,42702,"51.5343838101442, 7.62899100780487","51.5455877705091, 7.6285457611084",1745,389
262,42708,"50.0792162275579, 8.32735061820131","50.117540215182, 8.30440521589481",5992,1668
263,42741,"50.8676518325682, 12.074797154346","50.877206704892, 12.0568656991236",3091,994
264,42749,"51.014567110063, 13.7849020957947","51.0315834948263, 13.7700748443604",2790,607
265,42771,"51.3735485163142, 9.24362182617188","51.3966486199463, 9.22920227050781",3546,1031
266,42777,"48.1649290215698, 11.5144100194448","48.158270634901, 11.4979305272573",1948,686
267,42790,"49.4220495216265, 8.42848777770996","49.3951146901522, 8.47208976745606",5409,1036
268,42837,"51.8974959324633, 11.0690689086914","51.8550852184127, 11.0316467285156",7380,1626
269,42847,"52.5227414372546, 13.4488248829439","52.5265213769064, 13.4332895283296",1580,349
270,42891,"53.5011680956166, 7.0916748046875","53.5097759734625, 7.07244873046875",5076,886
271,42894,"52.6349694229622, 9.93682480067946","52.6274079249956, 9.96978378505446",2875,610
272,42935,"50.8769025189488, 6.91609096946195","50.9042524881395, 6.90391160314903",4533,1001
273,42938,"48.8450600877354, 8.21730136871338","48.9065644096931, 8.29879760742188",11505,2186
274,42942,"52.5258825609947, 7.31483459472656","52.5494697139725, 7.24960327148438",6024,1147
275,42950,"49.7769781458231, 7.89341243449599","49.7769592519885, 7.89544116938487",197,97
276,42962,"49.1798098318358, 8.61697196960449","49.1681277955061, 8.61559867858887",1735,327
277,43000,"50.9521709433487, 6.95516109466553","50.9247654916954, 7.13973999023438",17652,3596
278,43025,"53.3720518868081, 8.10165329603478","53.3818233388178, 8.11632254859433",1993,401
279,43045,"52.8968878882459, 10.1667823770549","52.8751462534375, 10.1211204507854",4357,811
280,43050,"49.1387799117961, 9.41014409065247","49.1204030913447, 9.38180923461914",3914,994
281,43063,"48.2577146039648, 7.80557155609131","48.3008279773731, 8.22601318359375",45885,10513
282,43071,"53.7354652795595, 10.598991389852","53.7072005388581, 10.7434272870887",12868,2676
283,43082,"48.486058058403, 9.19826030731201","48.4471815793129, 9.20386075973511",7056,1700
284,43102,"51.7529825949276, 11.9914627040271","51.7499737944368, 11.9966697675409",789,136
285,43135,"54.6678749403745, 8.92192840576172","54.6019032516363, 8.82305145263672",12674,2451
286,53172,"52.545746346846, 13.4321367309713","52.5815393349533, 13.477069497967",7253,1413
287,53179,"53.6153225168467, 9.9620246887207","53.5914381851302, 9.96078014373779",3999,741
288,53198,"52.6151186810187, 10.5995407083537","52.6364799996799, 10.5755424499512",3551,704
289,53202,"49.0009297858073, 8.4195613861084","48.9903108981954, 8.41750144958496",2058,440
290,53209,"51.3012613778834, 6.74021042396457","51.2964907718827, 6.73285961151123",872,209
291,53210,"50.8537233701979, 12.473258972168","53.7368753490261, 12.6561029912315",392326,72116
292,53241,"53.8690359432142, 10.7345392007846","53.868193664795, 10.7091333169956",2199,442
293,53245,"51.0846550551679, 13.7172031402588","50.7973639227152, 13.668794631958",44384,10597
294,53246,"48.76406290788, 11.4240646362305","48.7481270932265, 11.3986587524414",3248,623
295,53325,"50.9934465928594, 7.12744474411011","51.0005770323552, 7.0652711391449",5884,1196
296,53331,"51.7912049962546, 7.62368559837341","51.772088988916, 7.60995268821716",3091,566
297,53333,"51.6542409051872, 6.45103454589844","51.6684904490788, 6.476659554246",2544,483
298,53344,"53.5344123036715, 9.96693730342486","53.5557605118842, 9.98050165129826",3429,836
299,53373,"47.7628953500384, 9.28904342232272","47.8233403644748, 9.22587203560397",11222,2420
300,53385,"50.1156232048175, 8.68658065795899","50.1187000801026, 8.67945671081543",1035,253
301,53392,"50.0019015989946, 8.25146198272705","49.9900351819328, 8.29216718673706",4728,980
302,53405,"53.1099345938403, 8.90287399291992","53.098957811462, 8.8312339791446",6625,1481
303,53412,"52.0874253138274, 7.48214632971212","52.1227672269742, 7.49599691655021",5008,908
304,53440,"48.2544402408769, 8.68572235107422","48.2537439823649, 8.69876861572266",1108,240
305,53469,"51.9607560453141, 7.64003848977154","51.9798475382536, 7.62415981240338",3180,626
306,53476,"53.1215706818177, 13.5091683268547","53.1179327303914, 13.5249423980713",1312,298
307,53484,"47.6126036839856, 7.66709302843083","47.6384590380824, 7.66545152699109",4877,1403
308,53516,"48.8431688648018, 9.19591069221497","48.8458752302466, 9.21079158782959",1504,356
