,RID,start,end,Distance,Time
702,53516,"48.8431688648018, 9.19591069221497","48.8458752302466, 9.21079158782959",1504,1319
703,53522,"52.19793430457, 8.71401624579448","52.1963428643284, 8.75487165350933",3692,3056
704,53528,"50.9687682012364, 11.0319113661535","51.0340051047986, 11.0545966020436",10112,8194
705,53534,"50.1581295558813, 8.98564285762405","50.1490270102297, 8.99101469805828",1718,1403
706,53542,"50.7763235295753, 7.18746185302734","50.7518908603216, 7.20128059387207",4023,3585
707,53553,"47.9494352117577, 11.2206125685088","47.9532161636392, 11.2042189070098",1493,1239
708,53565,"50.9865311808553, 6.96576118469238","50.9777773852493, 6.99030876159668",2363,1900
709,53567,"54.349562469048, 10.1955270767212","54.3514892357724, 10.1781034469605",1345,1013
710,53571,"50.6631293185579, 12.2010040283203","50.6970448036906, 12.2538757324219",6132,5204
711,53577,"50.2368850829831, 8.58590126037598","50.2264257538294, 8.59470427036286",2302,1851
712,53586,"51.7591678233573, 11.3549995404901","51.7617333175235, 11.3536262494745",526,423
713,53598,"50.016812310636, 11.498908996582","50.0070550868934, 11.506462097168",1456,1253
714,53604,"49.8288062250074, 10.9289932250977","49.8214868313035, 10.9348297119141",1480,1327
715,53606,"50.0119752604216, 8.5649411380291","50.1918140100943, 8.54749202990206",27608,23204
716,53617,"47.8525996223238, 9.01726912823506","47.8488859987167, 9.02816963091027",1245,1168
717,53620,"53.6749091288406, 10.016452409327","53.6760699660611, 10.0200407335069",482,393
718,53621,"48.7927860053294, 9.59693527431227","48.8155906312874, 9.60517502040602",3420,2874
719,53622,"50.9849835415994, 7.09764540129982","50.9799538332334, 7.09339811612153",1104,895
720,53624,"51.9546063802798, 12.8953677143727","51.9322755745534, 12.9115815919067",3927,3151
721,53625,"48.1201672558058, 11.5501150488853","48.1163138182376, 11.5462261810899",829,689
722,53629,"52.4610903046769, 13.525191306544","52.4665137903831, 13.5444688770804",1800,1474
723,53653,"48.7342174753974, 9.11098199212574","48.7045505476588, 9.09116198672564",4272,3784
724,53656,"52.0417606418731, 10.3759002685547","52.0146694540527, 10.4109191894531",5015,4519
725,53657,"47.6749312812029, 9.16606307029724","47.725237399616, 9.13925170898438",7613,6477
726,53664,"52.1603031800261, 11.6302299499512","52.163255775367, 11.6746044158936",4091,3322
727,53665,"53.5795920742069, 9.9671745300293","53.5776022706593, 9.95992183685303",818,679
728,53677,"51.3028692876844, 11.2238339011674","51.2924732401298, 11.2339450631589",1595,1315
729,53689,"53.1569475911911, 8.7175966497307","53.158880212085, 8.71832728385925",821,654
730,53691,"48.8682179332732, 8.67248186201323","48.8739687551211, 8.65754732221831",1673,1248
731,53694,"53.9918643236024, 9.8204612697009","53.9930348728572, 9.81789350640611",312,248
732,53697,"52.4342331416329, 13.5978219335811","52.4339972843224, 13.6008926510112",248,202
733,53700,"51.1500169810132, 6.7266583442688","51.1458912936058, 6.73208713531494",662,533
734,53703,"50.9225544468101, 6.36005401611328","50.6934636959628, 6.46648406982422",31373,26241
735,53708,"48.5619349983005, 10.6848907470703","48.6210765824726, 10.7813404686749",12075,9874
736,53709,"49.4687279742322, 11.0204135708591","49.4677707456635, 11.0206590105008",94,71
737,53721,"49.3886515014331, 7.06704139709473","49.3912192096354, 7.06008306489821",583,518
738,53725,"49.1956152946598, 7.1495246887207","49.1803568665292, 7.14231491088867",2148,1783
739,53735,"51.1530729305408, 6.18852399962634","51.1509060964018, 6.18594416549058",302,235
740,53742,"51.0524232614949, 13.7783199548721","51.061847014206, 13.768572807312",1649,1363
741,53743,"52.2677605112083, 11.8476340720736","52.2390113176209, 11.7701795697212",7126,5797
742,53746,"48.0686520012354, 11.6940128803253","48.1434965823267, 11.5877437591553",13339,10893
743,53756,"48.1220020472227, 8.00505740582594","48.1263211546753, 8.01350688653656",958,1005
744,53764,"48.7209427280287, 8.74092374491738","48.8162085675628, 8.70796476054238",13685,11985
745,53767,"51.2158767451073, 6.77596807479858","51.216812972778, 6.77450895309448",200,178
746,53769,"49.0073577551969, 12.0872642563336","47.8441746248073, 12.0579099585302",147085,120694
747,53772,"50.2083438580886, 8.57489347457886","50.2158062273833, 8.5195541381836",4800,4421
748,53773,"54.0813720684548, 9.51622009277344","54.0831657963496, 9.51141357421875",673,553
749,53775,"49.1411963589563, 8.21700096130371","49.1342388619415, 8.21528434753418",1295,1080
750,53783,"49.0974894433753, 8.40059280395508","49.1051407936162, 8.37364196777344",2529,2036
751,53790,"50.9541037039364, 6.91342413419989","50.9306709668485, 6.89233302677167",3692,3069
752,53793,"52.5355499649778, 13.4361848825938","52.5271880327616, 13.4347257608897",1383,1150
753,53806,"49.5599628247895, 8.08387085173308","49.5638930133313, 8.09820285841852",1526,1216
754,53810,"53.0952976281239, 8.818598985672","53.0909839975932, 8.81718277931214",926,744
755,53818,"51.304018888393, 13.309388179332","51.3022039425586, 13.3210945129395",1077,897
756,53841,"51.4229820485454, 6.70609996187523","51.4163128317683, 6.72127962068771",1497,1244
757,53849,"50.0981168528703, 11.1480331420898","50.1111693822171, 11.1487197875977",1593,1318
758,53850,"50.8365803435858, 12.9028635619761","50.6452741048566, 12.952979564634",25751,22438
759,53854,"52.9786865335635, 10.3748335155251","53.2483621242438, 10.3987128393055",32726,26424
760,53861,"52.4832261557232, 13.42529296875","52.5292558002359, 13.436279296875",5835,4900
761,53864,"NA, NA","52.4711483375141, 13.4071064581076",-1,-1
762,53870,"53.6490386904709, 10.1853957027197","53.6389389118909, 10.1688230037689",2318,1898
763,53880,"49.9936154625411, 8.66123914718628","49.9430680793443, 8.55354309082031",12214,9910
764,53887,"50.8665905607198, 6.19649492204189","50.8691364891564, 6.19147382676601",443,373
765,53890,"51.3284982633197, 7.0244146591358","51.3221838706045, 7.02262616170628",788,591
766,53898,"50.5786176184276, 8.42393032118707","50.5751808169498, 8.4238483216177",416,307
767,53907,"51.8664974410351, 13.8545494076971","51.861426811329, 13.8566093442205",1012,820
768,53917,"51.4482897412206, 14.1338088735938","51.4461565283658, 14.1243887878954",1658,1357
769,53918,"48.6026412235019, 11.631968440488","48.6049565609806, 11.6360883135349",460,471
770,53920,"52.0438336087461, 11.5821647644043","52.0377622441918, 11.5925931930542",1165,927
771,53926,"48.4757805932824, 8.97308349609375","48.4702360670726, 8.98715972900391",1512,1604
772,53936,"51.3226577364863, 12.4034786224365","54.1075079838879, 3.1267087161541",-1,-1
773,53943,"50.7879853846735, 8.40172086405801","50.7938459107695, 8.40689829443363",1413,1160
774,63964,"49.4281840690779, 7.33680725097656","49.4374936380888, 7.34341621398926",3875,3437
775,63970,"48.8302588406103, 9.17079448699951","48.8314586035989, 9.17173862457276",158,135
776,63977,"49.5306952509049, 8.5683517580037","49.5325365198149, 8.68353177505924",10283,9128
777,63981,"53.5814021964761, 9.98235883744201","53.5781526095272, 9.98300599894719",511,437
778,63982,"51.5902493863166, 7.21269607543945","51.5130213321782, 7.40083694458008",19404,15945
779,63984,"49.6996981717495, 6.57428741455078","49.6851978390232, 6.58194780349732",2420,2457
780,63992,"53.5670768100674, 9.99270111322403","53.5626344836526, 9.99304878121491",543,437
781,63994,"50.1330608021168, 8.91767978668213","50.1392283013352, 8.91968331299722",879,722
782,63995,"51.5062190998115, 7.45851516723633","51.4988345713399, 7.44422435760498",1480,1230
783,63996,"51.3658056994292, 13.1956100463867","51.3698731858172, 13.1884002685547",1018,815
784,63999,"48.0889007154093, 10.5480766296387","48.0844495750772, 10.5374765396118",1353,1261
