"RID","on_foot","bike","car","distance_walk","time_walk","distance_bike","time_bike","distance_car","time_car","mean_dist","mean_time"
12859,1,0,0,2003,1955,NA,NA,NA,NA,2003,1955
12863,1,0,0,6797,5566,NA,NA,NA,NA,6797,5566
12865,1,1,0,7440,6426,7744,1808,NA,NA,7592,4117
12867,1,0,0,898,796,NA,NA,NA,NA,898,796
12868,1,1,1,4072,4069,4072,1624,4695,555,4279.66666666667,2082.66666666667
12871,0,0,1,NA,NA,NA,NA,20524,1170,20524,1170
12875,1,0,1,281,274,NA,NA,220,47,250.5,160.5
12883,1,1,0,3535,3444,3543,1606,NA,NA,3539,2525
12884,0,0,1,NA,NA,NA,NA,552,81,552,81
12888,0,0,1,NA,NA,NA,NA,15860,1322,15860,1322
12889,1,0,1,15689,12722,NA,NA,17301,1281,16495,7001.5
12900,1,0,0,1551,1316,NA,NA,NA,NA,1551,1316
12903,1,0,1,2898,2428,NA,NA,3430,518,3164,1473
12909,1,0,0,1100,888,NA,NA,NA,NA,1100,888
12910,1,0,0,488,434,NA,NA,NA,NA,488,434
12920,0,0,0,NA,NA,NA,NA,7548,949,7548,949
12921,0,0,1,NA,NA,NA,NA,54323,2400,54323,2400
12922,1,0,0,489,398,NA,NA,NA,NA,489,398
12924,0,0,0,NA,NA,NA,NA,1646,202,1646,202
12928,0,1,1,NA,NA,6128,1193,8423,648,7275.5,920.5
12929,0,0,1,NA,NA,NA,NA,1747,280,1747,280
12936,0,0,1,NA,NA,NA,NA,12918,943,12918,943
12937,1,0,0,29318,24272,NA,NA,NA,NA,29318,24272
12938,1,0,0,2512,2046,NA,NA,NA,NA,2512,2046
12940,1,0,0,1407,1137,NA,NA,NA,NA,1407,1137
12941,1,0,0,1884,1622,NA,NA,NA,NA,1884,1622
12946,0,1,0,NA,NA,4904,1051,NA,NA,4904,1051
12949,1,1,1,9068,7357,10252,1962,9434,884,9584.66666666667,3401
12954,1,0,0,2207,1752,NA,NA,NA,NA,2207,1752
12963,0,0,1,NA,NA,NA,NA,9078,1073,9078,1073
12964,1,0,0,1710,1472,NA,NA,NA,NA,1710,1472
12966,0,0,0,NA,NA,NA,NA,5930,656,5930,656
12975,1,0,1,1125,903,NA,NA,1003,204,1064,553.5
12976,1,0,1,4478,4177,NA,NA,5647,807,5062.5,2492
22063,1,0,0,2270,1847,NA,NA,NA,NA,2270,1847
22073,1,0,1,10874,8938,NA,NA,12933,1292,11903.5,5115
22074,0,0,0,NA,NA,NA,NA,6137,574,6137,574
22076,1,0,0,411195,336766,NA,NA,NA,NA,411195,336766
22077,1,0,0,258,248,NA,NA,NA,NA,258,248
22083,0,1,0,NA,NA,5620,1139,NA,NA,5620,1139
22084,1,0,0,453,358,NA,NA,NA,NA,453,358
22088,1,1,0,1792,1993,1893,984,NA,NA,1842.5,1488.5
22091,0,1,0,NA,NA,37107,6740,NA,NA,37107,6740
22092,1,0,0,3439,2855,NA,NA,NA,NA,3439,2855
22094,0,0,1,NA,NA,NA,NA,2526,446,2526,446
22095,1,0,1,2783,2736,NA,NA,2832,255,2807.5,1495.5
22101,0,0,1,NA,NA,NA,NA,8795,684,8795,684
22105,0,0,1,NA,NA,NA,NA,7517,577,7517,577
22108,0,0,0,NA,NA,NA,NA,-2,-2,-2,-2
22111,0,1,0,NA,NA,7012,1370,NA,NA,7012,1370
22112,1,0,1,26055,21826,NA,NA,28578,2180,27316.5,12003
22113,1,1,0,1976,1576,1951,319,NA,NA,1963.5,947.5
22124,1,0,1,4085,3505,NA,NA,4240,429,4162.5,1967
22127,1,0,0,1035,844,NA,NA,NA,NA,1035,844
22129,1,0,1,5899,4892,NA,NA,8509,641,7204,2766.5
22134,0,0,1,NA,NA,NA,NA,1856,305,1856,305
22137,0,0,1,NA,NA,NA,NA,25817,1869,25817,1869
22142,1,0,1,12695,10891,NA,NA,16145,1241,14420,6066
22144,1,0,0,925,812,NA,NA,NA,NA,925,812
22150,0,1,0,NA,NA,1122,221,NA,NA,1122,221
22152,0,0,1,NA,NA,NA,NA,17806,1366,17806,1366
22156,0,1,1,NA,NA,154435,31330,187173,7385,170804,19357.5
22159,0,0,1,NA,NA,NA,NA,29109,1470,29109,1470
22161,0,0,1,NA,NA,NA,NA,14294,1100,14294,1100
22162,1,0,0,1681,1353,NA,NA,NA,NA,1681,1353
22167,1,0,0,1361,1154,NA,NA,NA,NA,1361,1154
22170,1,1,0,266349,218725,-1,-1,NA,NA,133174,109362
22171,1,1,0,6041,4884,6041,1120,NA,NA,6041,3002
22175,1,1,0,1912,1541,1955,365,NA,NA,1933.5,953
22176,0,0,1,NA,NA,NA,NA,13245,1164,13245,1164
22180,1,0,0,814,634,NA,NA,NA,NA,814,634
22183,0,1,1,NA,NA,14268,2818,14944,1043,14606,1930.5
22188,0,0,0,NA,NA,NA,NA,1366,280,1366,280
22190,1,0,0,637,549,NA,NA,NA,NA,637,549
22192,1,0,0,6300,5586,NA,NA,NA,NA,6300,5586
22196,0,0,1,NA,NA,NA,NA,21117,1400,21117,1400
22197,1,0,1,6077,5612,NA,NA,6724,575,6400.5,3093.5
22206,0,0,1,NA,NA,NA,NA,5309,577,5309,577
22221,0,1,0,NA,NA,628,185,NA,NA,628,185
22224,0,0,1,NA,NA,NA,NA,19083,1442,19083,1442
22227,1,0,1,1046,905,NA,NA,1302,339,1174,622
22231,0,0,1,NA,NA,NA,NA,8516,752,8516,752
22232,0,0,1,NA,NA,NA,NA,8852,695,8852,695
22235,1,0,0,1450,1157,NA,NA,NA,NA,1450,1157
22238,1,0,0,2779,2314,NA,NA,NA,NA,2779,2314
22240,0,0,1,NA,NA,NA,NA,10943,679,10943,679
22252,0,1,1,NA,NA,7051,1378,6925,639,6988,1008.5
22257,0,1,0,NA,NA,11403,2403,NA,NA,11403,2403
22258,1,0,1,29034,23391,NA,NA,33088,1956,31061,12673.5
22264,0,0,1,NA,NA,NA,NA,2826,288,2826,288
22266,1,1,1,4382,3683,4673,1101,4975,796,4676.66666666667,1860
22267,0,1,0,NA,NA,7195,1282,NA,NA,7195,1282
22272,1,1,1,2537,2163,2991,560,2452,353,2660,1025.33333333333
22274,0,1,1,NA,NA,15369,2878,17760,1396,16564.5,2137
22277,0,0,1,NA,NA,NA,NA,226864,8430,226864,8430
22282,1,0,0,1546,1290,NA,NA,NA,NA,1546,1290
